ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20220223,3259.2699,,,,3282.844,-23.5741,-0.7181,20970130.29,19673587.193
932368.CSI,20220224,3219.0048,,,,3259.2699,-40.2651,-1.2354,33646213.67,28284224.959
932368.CSI,20220225,3189.7226,,,,3219.0048,-29.2822,-0.9097,30206273.6,27182097.946
932368.CSI,20220228,3240.5893,,,,3189.7226,50.8667,1.5947,26125170.04,25512963.49
932368.CSI,20220301,3294.1482,,,,3240.5893,53.5589,1.6528,24355280.28,22870418.032
932368.CSI,20220302,3334.4597,,,,3294.1482,40.3115,1.2237,29018264.89,25558561.37
932368.CSI,20220303,3392.9518,,,,3334.4597,58.4921,1.7542,35619335.68,31507691.843
932368.CSI,20220304,3393.1329,,,,3392.9518,0.1811,0.0053,30969825.62,27443022.172
932368.CSI,20220307,3365.0127,,,,3393.1329,-28.1202,-0.8287,31764555.65,29297505.393
932368.CSI,20220308,3226.1679,,,,3365.0127,-138.8448,-4.1261,34247976.45,30455396.183
932368.CSI,20220309,3209.059,,,,3226.1679,-17.1089,-0.5303,34984850.51,30175267.471
932368.CSI,20220310,3216.9078,,,,3209.059,7.8488,0.2446,26782006.95,24131465.765
932368.CSI,20220311,3239.2209,,,,3216.9078,22.3131,0.6936,26248015.87,24145818.094
932368.CSI,20220314,3155.5763,,,,3239.2209,-83.6446,-2.5822,23049027.94,21762470.406
932368.CSI,20220315,2942.6844,,,,3155.5763,-212.8919,-6.7465,33668712.25,27621129.717
932368.CSI,20220316,3030.9067,,,,2942.6844,88.2223,2.998,27748205.49,22701061.933
932368.CSI,20220317,3063.2794,,,,3030.9067,32.3727,1.0681,26638335.58,23350218.37
932368.CSI,20220318,3141.1636,,,,3063.2794,77.8842,2.5425,24274867.7,22186375.303
932368.CSI,20220321,3165.8096,,,,3141.1636,24.646,0.7846,22889619.01,21222547.974
932368.CSI,20220322,3219.6573,,,,3165.8096,53.8477,1.7009,22483174.83,20031478.784
932368.CSI,20220323,3211.1545,,,,3219.6573,-8.5028,-0.2641,20920255.12,19261673.812
932368.CSI,20220324,3231.7376,,,,3211.1545,20.5831,0.641,20686178.53,18475827.951
932368.CSI,20220325,3199.139,,,,3231.7376,-32.5986,-1.0087,18757739.17,17672893.845
932368.CSI,20220328,3260.5674,,,,3199.139,61.4284,1.9202,21278382.37,20703230.231
932368.CSI,20220329,3293.9289,,,,3260.5674,33.3615,1.0232,18733806.56,19577733.912
932368.CSI,20220330,3264.2004,,,,3293.9289,-29.7285,-0.9025,20051543.47,20981673.333
932368.CSI,20220331,3276.8013,,,,3264.2004,12.6009,0.386,22030433.97,22305185.863
932368.CSI,20220401,3308.7473,,,,3276.8013,31.946,0.9749,23346002.98,24204102.936
932368.CSI,20220406,3296.3398,,,,3308.7473,-12.4075,-0.375,28248030.65,25806972.521
932368.CSI,20220407,3265.5627,,,,3296.3398,-30.7771,-0.9337,25999070.8,21829652.7
932368.CSI,20220408,3308.4226,,,,3265.5627,42.8599,1.3125,23559059.85,21117102.783
932368.CSI,20220411,3252.0407,,,,3308.4226,-56.3819,-1.7042,24201061.56,22273961.61
932368.CSI,20220412,3291.1623,,,,3252.0407,39.1216,1.203,21816269.82,20977928.782
932368.CSI,20220413,3341.4387,,,,3291.1623,50.2764,1.5276,23528327.37,22199915.419
932368.CSI,20220414,3403.2158,,,,3341.4387,61.7771,1.8488,22738397.78,22179884.925
932368.CSI,20220415,3347.924,,,,3403.2158,-55.2918,-1.6247,31295652.43,28899213.198
932368.CSI,20220418,3287.4642,,,,3347.924,-60.4598,-1.8059,23042813.37,21379590.268
932368.CSI,20220419,3337.9014,,,,3287.4642,50.4372,1.5342,21949861.25,19255226.385
932368.CSI,20220420,3238.8699,,,,3337.9014,-99.0315,-2.9669,22212145.04,19298570.537
932368.CSI,20220421,3167.3496,,,,3238.8699,-71.5203,-2.2082,22876674.05,17978047.204
932368.CSI,20220422,3189.7653,,,,3167.3496,22.4157,0.7077,18632623.46,15244380.134
932368.CSI,20220425,3022.4772,,,,3189.7653,-167.2881,-5.2445,26236492.58,21101883.037
932368.CSI,20220426,2951.8753,,,,3022.4772,-70.6019,-2.3359,23016161.84,18595759.447
932368.CSI,20220427,3030.8331,,,,2951.8753,78.9578,2.6748,23177111.68,18379604.12
932368.CSI,20220428,3112.6066,,,,3030.8331,81.7735,2.6981,21365595.9,19749501.825
932368.CSI,20220429,3147.125,,,,3112.6066,34.5184,1.109,26089062.22,23032112.197
932368.CSI,20220505,3151.1148,,,,3147.125,3.9898,0.1268,22925960.66,21455256.507
932368.CSI,20220506,3088.6826,,,,3151.1148,-62.4322,-1.9813,18212122.03,16494494.134
932368.CSI,20220509,3072.4546,,,,3088.6826,-16.228,-0.5254,14720298.51,13389825.056
932368.CSI,20220510,3032.6971,,,,3072.4546,-39.7575,-1.294,20274383.47,17850870.104
932368.CSI,20220511,3063.4868,,,,3032.6971,30.7897,1.0153,21855465.68,19016532.451
932368.CSI,20220512,3040.8608,,,,3063.4868,-22.626,-0.7386,16585231.95,14600499.531
932368.CSI,20220513,3118.6995,,,,3040.8608,77.8387,2.5598,16524335.87,16303832.527
932368.CSI,20220516,3136.3002,,,,3118.6995,17.6007,0.5644,17410981.73,16774315.551
932368.CSI,20220517,3152.8999,,,,3136.3002,16.5997,0.5293,16187288.51,14980750.431
932368.CSI,20220518,3130.2368,,,,3152.8999,-22.6631,-0.7188,14488756.89,13080586.585
932368.CSI,20220519,3126.0965,,,,3130.2368,-4.1403,-0.1323,15665883.31,13471133.974
932368.CSI,20220520,3221.6455,,,,3126.0965,95.549,3.0565,24101540.12,21592163.449
932368.CSI,20220523,3255.7889,,,,3221.6455,34.1434,1.0598,24541444.72,20757346.57
932368.CSI,20220524,3201.6387,,,,3255.7889,-54.1502,-1.6632,23729561.74,21317268.88
932368.CSI,20220525,3251.311,,,,3201.6387,49.6723,1.5515,16512392.62,15442532.289
932368.CSI,20220526,3302.8419,,,,3251.311,51.5309,1.5849,21123582.52,20392945.416
932368.CSI,20220527,3324.0188,,,,3302.8419,21.1769,0.6412,18360251.57,18664034.44
932368.CSI,20220530,3312.3967,,,,3324.0188,-11.6221,-0.3496,16232536.88,15820977.968
932368.CSI,20220531,3312.9027,,,,3312.3967,0.506,0.0153,18319650.42,16992231.547
932368.CSI,20220601,3337.0376,,,,3312.9027,24.1349,0.7285,17434443.45,16253045.563
932368.CSI,20220602,3299.2399,,,,3337.0376,-37.7977,-1.1327,20280528.24,16962246.197
932368.CSI,20220606,3348.9752,,,,3299.2399,49.7353,1.5075,22141725.38,19531148.782
932368.CSI,20220607,3350.7818,,,,3348.9752,1.8066,0.0539,22294354.42,21280627.717
932368.CSI,20220608,3419.958,,,,3350.7818,69.1762,2.0645,24834170.0,23521900.734
932368.CSI,20220609,3402.4561,,,,3419.958,-17.5019,-0.5118,23362041.67,23697282.956
932368.CSI,20220610,3434.2522,,,,3402.4561,31.7961,0.9345,24307017.5,22573912.0
932368.CSI,20220613,3387.1337,,,,3434.2522,-47.1185,-1.372,30459606.59,27102729.787
