ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
301089.SZ,20230609,880992.0,538950.7016,15.6648,5.3641
300688.SZ,20230609,624827.5391,506215.6115,,11.6464
688682.SH,20230609,439322.2909,261725.2909,84.8235,6.7425
688167.SH,20230609,975743.3885,704236.9432,79.8958,3.9766
002150.SZ,20230609,569714.2507,567529.2653,42.7626,3.5886
301191.SZ,20230609,631385.58,198466.8361,34.3788,3.8629
688439.SH,20230609,1990000.0,445699.3747,57.6501,4.6375
000915.SZ,20230609,867729.489,867269.3912,16.2323,3.3891
600243.SH,20230609,176856.55,176856.55,,2.0164
300759.SZ,20230609,5476059.2747,4354692.3782,37.1567,5.0794
601059.SH,20230609,4728294.0,472829.4,37.0149,2.8486
600054.SH,20230609,1000708.5917,704247.6,613.8284,2.4101
603579.SH,20230609,279615.6719,279615.6719,19.4986,1.5166
002528.SZ,20230609,1131549.2774,987838.6529,,9.413
002271.SZ,20230609,7263250.7268,5728194.0832,33.1866,2.6975
301152.SZ,20230609,561118.6122,128329.512,75.4264,2.276
688520.SH,20230609,2829663.1268,631327.3783,,
002823.SZ,20230609,280214.1911,166119.1528,543.1832,2.1578
301070.SZ,20230609,215937.144,117228.4686,71.2103,2.7781
000545.SZ,20230609,282234.2655,281825.2855,,1.9239
920062.BJ,20230609,98486.1582,56975.2867,13.7247,1.5847
600643.SH,20230609,856375.0547,854886.5899,21.5991,0.6757
600875.SH,20230609,5697561.2471,3681650.1158,19.3294,1.5821
002299.SZ,20230609,2382813.6154,2358595.4884,42.1231,2.4332
603613.SH,20230609,2680771.4788,2680771.4788,21.854,4.8512
600688.SH,20230609,3380176.3615,2293918.6255,,1.2952
688153.SH,20230609,2849126.0534,626580.8076,,7.543
002806.SZ,20230609,246408.9759,194014.7981,,2.1672
000020.SZ,20230609,308645.7374,197470.2762,289.694,8.573
300927.SZ,20230609,227511.36,134413.9479,36.196,3.4473
600257.SH,20230609,267086.6393,267086.6393,,3.071
002061.SZ,20230609,1167012.9171,1167012.9171,8.5286,0.8951
603816.SH,20230609,3148666.4093,3148666.4093,17.8,3.4012
002878.SZ,20230609,416883.131,364616.6311,62.7031,4.6334
605136.SH,20230609,528605.22,258853.9153,,2.1352
300291.SZ,20230609,740325.2657,646687.1922,317.8125,1.9359
002232.SZ,20230609,674104.9508,674104.9508,88.4892,4.9082
688279.SH,20230609,859903.0678,513227.9571,59.8274,3.8164
000546.SZ,20230609,632433.3892,576339.5414,,1.3045
301081.SZ,20230609,199683.9,82274.4,39.0522,2.1724
688608.SH,20230609,1547880.0,1023662.1892,156.1017,2.5936
601519.SH,20230609,1486185.246,1462821.888,56.401,7.7692
002094.SZ,20230609,241814.1422,241658.7422,,1.6555
603067.SH,20230609,589440.7202,582228.6962,14.0556,2.2471
601677.SH,20230609,1302465.433,1302465.433,9.5679,1.0653
300379.SZ,20230609,1094159.4885,1028039.1584,622.6056,4.6807
000836.SZ,20230609,352868.9254,352868.9254,,2.791
001289.SZ,20230609,17870345.4656,284272.401,34.4132,2.6997
000685.SZ,20230609,1128460.1835,958680.2007,9.6543,0.7065
002986.SZ,20230609,585664.6438,556099.2213,12.7788,2.2798
301325.SZ,20230609,1202520.0,248360.4239,50.0247,4.4252
300268.SZ,20230609,292133.4,224032.6202,,
600202.SH,20230609,201637.1935,201637.1935,52.5597,2.4685
600675.SH,20230609,1773975.3583,1773975.3583,,1.1853
603018.SH,20230609,650275.6854,635858.5254,9.4896,1.4463
301187.SZ,20230609,310250.416,81338.3032,21.7334,2.1284
002795.SZ,20230609,386068.8603,295241.9143,,4.343
300575.SZ,20230609,471727.746,349287.4657,11.6695,2.3155
300247.SZ,20230609,283022.1902,282752.9102,21.3866,2.8341
603038.SH,20230609,190140.7212,190140.7212,94.4949,1.4174
002030.SZ,20230609,1736062.7416,1736062.7416,4.6062,1.5313
600157.SH,20230609,3154922.5086,3154922.5086,15.7584,0.7092
001208.SZ,20230609,500220.864,233652.5568,50.4107,3.3343
002772.SZ,20230609,419259.2944,414367.1367,12.2486,1.2803
603212.SH,20230609,816314.4127,811107.6391,70.469,2.7142
002394.SZ,20230609,262197.0,261396.1352,12.4903,0.648
002723.SZ,20230609,323862.1182,313962.7441,238.9584,2.5889
300050.SZ,20230609,248096.2661,225679.7878,,3.6766
603819.SH,20230609,322676.1371,322676.1371,,4.4865
000612.SZ,20230609,572255.7091,571862.2291,46.1836,1.0757
301101.SZ,20230609,881615.4375,312672.9375,59.1203,6.0216
605337.SH,20230609,700508.3904,274113.2781,29.2616,4.1277
300239.SZ,20230609,372782.6733,322843.8219,31.9023,2.4141
601333.SH,20230609,2769662.967,2210024.667,,1.0767
000408.SZ,20230609,3789883.3051,3789819.9979,6.5783,3.7707
600117.SH,20230609,309355.0026,309355.0026,,
000601.SZ,20230609,468959.4243,468668.2507,,1.0392
600919.SH,20230609,11224956.6503,11162939.1812,4.1542,0.6466
300980.SZ,20230609,208974.8084,98402.31,42.8224,2.1829
605266.SH,20230609,759089.1901,447517.6996,18.5013,2.852
603326.SH,20230609,237581.048,237581.048,17.7708,2.3106
688236.SH,20230609,1321923.2,267485.9548,45.653,4.7627
002241.SZ,20230609,6218293.0176,5465185.8613,65.1648,2.0863
300775.SZ,20230609,1734670.3257,1517778.8857,24.7318,3.6391
300043.SZ,20230609,532516.9156,401356.2728,,2.9319
603685.SH,20230609,268882.0293,268882.0293,,2.5164
688526.SH,20230609,1045704.4902,280314.7732,23.0185,2.9507
000301.SZ,20230609,7391335.4654,6148643.6107,128.0906,2.1202
002164.SZ,20230609,291099.0079,263052.4192,9.7462,2.2453
301077.SZ,20230609,241560.0,86297.314,26.4774,2.0982
300248.SZ,20230609,496487.4548,414586.1619,43.075,2.5168
605298.SH,20230609,242049.6,73959.6,60.0612,2.5401
603948.SH,20230609,337574.81,332320.0,9.7243,1.9134
002796.SZ,20230609,274135.6655,251773.6603,,3.309
600655.SH,20230609,2878149.0145,2868993.2397,7.5191,0.7992
600307.SH,20230609,989610.473,989610.473,,0.8802
601006.SH,20230609,11721772.5575,11721772.5575,9.8632,0.8976
603828.SH,20230609,176404.2068,176398.129,,2.03
603955.SH,20230609,209008.8,209008.8,238.2238,1.2896
002763.SZ,20230609,333268.212,151253.3858,21.8538,1.7218
603711.SH,20230609,848190.077,848190.077,30.3556,2.7701
600982.SH,20230609,485111.4036,480526.316,14.7212,1.2511
300921.SZ,20230609,422563.5572,197670.8804,80.3582,5.1881
920275.BJ,20230609,47762.7248,26877.9294,29.241,2.1295
300953.SZ,20230609,696456.5916,308850.08,109.9937,2.8963
600246.SH,20230609,1298133.8789,1298133.8789,,2.1658
600739.SH,20230609,2097232.1577,2097232.1577,16.7658,0.7223
300790.SZ,20230609,495050.9144,359444.9864,44.3977,2.7175
300054.SZ,20230609,2387274.6894,1854340.3565,67.5534,5.7943
688070.SH,20230609,372215.0,163115.0,,5.543
002997.SZ,20230609,479830.7897,299141.8397,28.5703,3.6718
002170.SZ,20230609,585529.6086,466014.103,34.1723,2.5839
300075.SZ,20230609,1417751.4323,1156976.828,53.1299,3.6497
000820.SZ,20230609,233868.9965,105570.0896,,32.889
000901.SZ,20230609,804587.0172,804587.0172,371.8475,1.8842
300264.SZ,20230609,327451.7137,270940.0836,,21.9896
688456.SH,20230609,328498.54,204111.3288,64.8311,2.8936
300796.SZ,20230609,407730.3025,407730.3025,23.7783,2.496
688506.SH,20230609,3157474.0,260340.4085,,41.3368
605007.SH,20230609,569190.4412,117810.4491,78.7285,2.8159
601678.SH,20230609,956986.8683,956986.8683,10.8766,0.8424
002235.SZ,20230609,405700.5988,383765.8657,,4.0448
002688.SZ,20230609,358213.8807,351515.8631,44.3928,1.6442
300506.SZ,20230609,393707.6581,321166.2765,,7.3393
688129.SH,20230609,165840.0,57256.26,122.5363,2.014
300018.SZ,20230609,301481.3731,243266.3919,67.2219,2.5085
601858.SH,20230609,3280575.0,3280575.0,66.618,6.7304
001313.SZ,20230609,548800.0,170984.1288,50.7129,2.0223
000702.SZ,20230609,139449.8832,139449.8832,,6.9349
301007.SZ,20230609,189374.9,152655.5713,43.1902,3.1224
