ts_code,end_date,total_liab,money_cap,total_assets
002231.SZ,20090930,76037275.45,178423699.98,453826147.36
000809.SZ,20090930,83263104.93,20156490.77,214245879.29
002216.SZ,20090930,521860847.52,577106557.1,1424539734.62
002210.SZ,20090930,1604264853.91,1069734467.44,2052844844.63
000823.SZ,20090930,1427599547.62,483083914.19,3215602556.53
002219.SZ,20090930,109299011.29,87492987.48,448391545.87
000828.SZ,20090930,1527579240.59,87746534.5,4279764908.16
000833.SZ,20090930,473303591.65,144461336.05,1221108672.37
000861.SZ,20090930,700823413.8,115657832.14,1504477023.0
002214.SZ,20090930,189480903.93,109298099.25,544049138.53
002205.SZ,20090930,524287178.28,128706498.52,916768544.67
000858.SZ,20090930,5254438424.7,6563567876.2,18913285078.3
002226.SZ,20090930,20370348.8,202770598.31,376454497.57
002213.SZ,20090930,75324012.05,100844038.46,315258762.27
000850.SZ,20090930,1915072890.03,114822962.61,3481781053.45
000007.SZ,20090930,445233010.42,73266713.55,421999913.45
002269.SZ,20090930,3061190230.0,1598320072.0,5747132245.0
002270.SZ,20090930,186039563.37,210214529.49,725221895.59
002261.SZ,20090930,69456625.28,473496248.12,669734872.38
000015.SZ,20090930,1747014257.4,773.14,128972275.58
000004.SZ,20090930,101139084.62,56792294.63,184260650.58
000880.SZ,20090930,1183909393.38,1074755092.69,1814296976.47
000036.SZ,20090930,1320357545.15,1374483837.97,3166514314.38
002258.SZ,20090930,46739859.35,414553796.07,863431883.05
002246.SZ,20090930,76153556.21,223453637.1,665350852.91
002248.SZ,20090930,754248822.53,244627803.59,1406807494.23
000810.SZ,20090930,574082408.91,36845642.0,1073382290.51
002243.SZ,20090930,153327697.87,160696969.9,657371454.9
002195.SZ,20090930,37052907.31,260643172.76,306185313.26
002184.SZ,20090930,250038401.07,273242040.13,1014657893.4
000788.SZ,20090930,925121454.01,339812038.39,1469724447.83
002176.SZ,20090930,195729371.5,97549472.39,553264632.81
002164.SZ,20090930,528816536.28,24766645.9,1106636948.67
000782.SZ,20090930,1136992891.74,287320352.42,2044818594.71
002174.SZ,20090930,172106883.58,126784085.03,394996128.09
002203.SZ,20090930,2814781807.79,1129427666.21,4270089079.52
002201.SZ,20090930,391805119.2,119484624.48,764424163.02
002188.SZ,20090930,135481534.67,126171431.28,485911202.86
000816.SZ,20090930,1418600654.58,599028055.35,2760943899.36
000811.SZ,20090930,887671971.27,61608405.75,1516346306.35
002192.SZ,20090930,427132697.24,138396915.5,675056992.86
002186.SZ,20090930,387978792.48,314245859.54,1146529713.98
000797.SZ,20090930,4600410112.05,1327085244.8,5881901186.97
002202.SZ,20090930,7972260560.23,2040177530.65,12757193393.92
002189.SZ,20090930,203960710.96,242077462.83,665141211.78
002152.SZ,20090930,351063729.4,512595796.12,1883524809.69
002150.SZ,20090930,211479482.42,116862072.93,642750649.23
000768.SZ,20090930,5716382836.67,2387237117.63,15158824791.35
002155.SZ,20090930,764573716.64,299845212.52,2667541454.05
000765.SZ,20090930,652119413.04,374616.73,201403698.7
000779.SZ,20090930,290793551.73,76753536.29,572367275.01
002178.SZ,20090930,124484662.32,86483246.35,411648193.66
000790.SZ,20090930,354681641.38,68243258.69,757708201.55
000785.SZ,20090930,1638509974.69,401331926.62,2284763707.63
002165.SZ,20090930,233248355.05,120175081.45,751428563.04
