ts_code,ann_date,f_ann_date,end_date,operate_profit
300180.SZ,20150327,20150327,20141231,125755300.97
300182.SZ,20150425,20150425,20141231,251933137.7
300168.SZ,20150401,20150401,20141231,214875647.33
300197.SZ,20150421,20150421,20141231,294174691.21
300199.SZ,20150312,20150312,20141231,183314282.65
300202.SZ,20150420,20150420,20141231,329911513.96
300207.SZ,20150327,20150327,20141231,204572612.63
300212.SZ,20150325,20150325,20141231,163756967.36
300251.SZ,20150416,20150416,20141231,411909799.83
300244.SZ,20150317,20150317,20141231,150216861.87
300223.SZ,20150328,20150328,20141231,-18487220.25
300253.SZ,20150228,20150228,20141231,89765029.56
300266.SZ,20150425,20150425,20141231,85728005.67
300257.SZ,20150422,20150422,20141231,400465548.14
300267.SZ,20150303,20150303,20141231,330456884.85
300271.SZ,20150326,20150326,20141231,126974427.37
300273.SZ,20150425,20150425,20141231,248319363.17
300285.SZ,20150421,20150421,20141231,78425950.97
300274.SZ,20150415,20150415,20141231,278788487.53
300287.SZ,20150331,20150331,20141231,105854542.03
300291.SZ,20150410,20150410,20141231,147085524.94
300297.SZ,20150424,20150424,20141231,32184186.88
300296.SZ,20150326,20150326,20141231,162004924.45
300308.SZ,20150425,20150425,20141231,2150922.74
300316.SZ,20150312,20150312,20141231,59238834.97
300324.SZ,20150317,20150317,20141231,75477431.61
300315.SZ,20150418,20150418,20141231,346660855.2
300339.SZ,20150326,20150326,20141231,89004653.88
300347.SZ,20150411,20150411,20141231,169461072.26
300346.SZ,20150422,20150422,20141231,52841442.41
300357.SZ,20150211,20150211,20141231,112410351.37
300363.SZ,20150217,20150217,20141231,142707490.14
300376.SZ,20150402,20150402,20141231,179739280.86
300383.SZ,20150421,20150421,20141231,112430954.71
300373.SZ,20150423,20150423,20141231,119418786.58
300390.SZ,20150209,20150209,20141231,46877105.88
300395.SZ,20150317,20150317,20141231,76798902.04
300408.SZ,20150420,20150420,20141231,747571765.95
300394.SZ,20150202,20150202,20141231,99686664.2
300413.SZ,20150417,20150417,20141231,130997771.46
300433.SZ,20150303,20150303,20141231,1137199007.97
300432.SZ,20150303,20150303,20141231,153229997.49
300418.SZ,20150423,20150423,20141231,323505698.91
300438.SZ,20150403,20150403,20141231,61555318.96
300454.SZ,20170804,20170804,20141231,154946274.61
300442.SZ,20150423,20150423,20141231,105274858.29
