ts_code,end_date,operate_profit,total_revenue
000935.SZ,20070331,-22149063.51,137243746.65
000971.SZ,20070331,-12986618.69,41415511.55
600258.SH,20070331,55570661.86,382589837.26
600108.SH,20070331,9915433.76,201174906.82
600656.SH,20070331,-11817490.98,52660303.88
600120.SH,20070331,49025579.75,1127516329.98
600131.SH,20070331,5428589.49,170797526.76
600107.SH,20070331,2536500.61,84404223.37
600017.SH,20070331,51960368.15,280368415.4
600775.SH,20070331,16354395.07,141893845.31
600791.SH,20070331,4206413.17,43124785.8
600755.SH,20070331,95247534.91,2963356952.82
600768.SH,20070331,-129443.77,202348369.41
600736.SH,20070331,34031161.03,348813528.16
600223.SH,20070331,-43059426.14,293703069.72
600190.SH,20070331,27138054.9,122136655.91
600165.SH,20070331,34427.37,138125381.77
600242.SH,20070331,-5176970.12,136249.0
600263.SH,20070331,14633895.99,813480950.84
600873.SH,20070331,5553870.84,156445986.33
600432.SH,20070331,222556119.18,598067161.6
600321.SH,20070331,2674437.78,93450046.92
600237.SH,20070331,5214789.5,132490631.03
600826.SH,20070331,2255859.54,450081289.6
600866.SH,20070331,5037802.7,179025403.04
600395.SH,20070331,20861444.8,489020957.14
600988.SH,20070331,-3548993.57,220700.85
601607.SH,20070331,38575386.72,3124821250.04
002009.SZ,20070331,13705049.89,89127180.15
000550.SZ,20070331,167375257.54,1784870435.19
600876.SH,20070331,-31684000.0,306780000.0
600980.SH,20070331,-5600533.97,63606776.46
000008.SZ,20070331,1007426.63,2451589.14
000034.SZ,20070331,-7293396.15,88508387.1
000016.SZ,20070331,28583856.69,3400940519.22
600882.SH,20070331,4632013.41,169469942.22
001872.SZ,20070331,234337631.0,450017131.0
600551.SH,20070331,279109.49,23451462.34
600568.SH,20070331,977357.45,492956890.89
600517.SH,20070331,36919857.05,243335453.01
600598.SH,20070331,132157212.55,1216955145.98
600641.SH,20070331,29833076.4,158406873.0
600688.SH,20070331,1261486000.0,12844301000.0
600527.SH,20070331,17955968.49,141116788.32
600622.SH,20070331,28680151.41,138611764.03
000423.SZ,20070331,67513929.59,287309925.98
600293.SH,20070331,706502.58,169915958.02
600127.SH,20070331,588675.31,215022614.69
000413.SZ,20070331,165128.06,59867754.38
000150.SZ,20070331,-4364123.91,25043954.29
600247.SH,20070331,9898430.25,41557199.22
600156.SH,20070331,5248677.08,177257280.91
000893.SZ,20070331,11894114.05,362292862.12
000820.SZ,20070331,9512312.31,157652349.54
002031.SZ,20070331,14366025.03,68078782.32
000538.SZ,20070331,88531234.45,822524965.48
600748.SH,20070331,55398490.59,323216794.05
000569.SZ,20070331,-9216249.53,707664152.66
600012.SH,20070331,242340291.04,422500150.51
002094.SZ,20070331,4506824.4,92209144.46
600380.SH,20070331,245622837.85,596516671.49
600499.SH,20070331,27760876.4,272475189.38
600356.SH,20070331,7139683.36,200338037.69
600963.SH,20070331,15277522.4,350180393.33
000968.SZ,20070331,54963563.7,724587623.94
600563.SH,20070331,30683867.7,127155234.08
600536.SH,20070331,9756984.5,328803823.81
