ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
600206.SH,20081231,1219066898.08,31827798.26
600207.SH,20081231,1476356534.73,64771327.85
600208.SH,20081231,2214133583.33,56172682.71
600210.SH,20081231,6104965769.34,403473614.95
600212.SH,20081231,808562490.62,17309830.58
600216.SH,20081231,3999888977.37,130271273.07
600218.SH,20081231,799561417.95,36967868.58
600219.SH,20081231,8934292754.32,2138146299.35
600220.SH,20081231,3725324980.47,1413084411.34
600222.SH,20081231,417895345.33,40977396.84
600223.SH,20081231,1745126230.11,54862184.02
600227.SH,20081231,1171195443.66,1799370903.02
600229.SH,20081231,2482056202.27,234877332.54
600230.SH,20081231,2271360778.95,526965849.28
600231.SH,20081231,8786594568.42,1061258026.99
600233.SH,20081231,952978917.8,23314468.87
600235.SH,20081231,1446979153.76,44436715.56
600242.SH,20081231,75176379.61,176977.0
600246.SH,20081231,2277607214.74,359483453.1
600251.SH,20081231,530521910.91,147208980.13
600252.SH,20081231,489997349.67,128077800.05
600256.SH,20081231,2208913447.57,62886472.05
600258.SH,20081231,1666184881.68,39323410.95
600261.SH,20081231,2008610560.68,133868100.68
600267.SH,20081231,3616515326.85,648254778.73
600268.SH,20081231,1793060743.27,77155428.7
600269.SH,20081231,2899190279.47,1903583720.07
600270.SH,20081231,3511242891.77,36524115.65
600271.SH,20081231,6779070423.6,179037142.21
600276.SH,20081231,2561558811.49,111211604.55
600278.SH,20081231,5714785633.51,92305434.42
600279.SH,20081231,464397976.57,557399250.95
600282.SH,20081231,18826918100.01,114663440.29
600284.SH,20081231,1049629484.94,27303571.74
600292.SH,20081231,2334681638.6,170720537.51
600298.SH,20081231,1465293540.87,476308322.56
600300.SH,20081231,3656733016.01,241865384.02
600302.SH,20081231,755739885.53,38957343.51
600303.SH,20081231,3709155832.86,481614357.4
600309.SH,20081231,9527178125.27,1013862444.04
600310.SH,20081231,1039262911.05,139255064.18
600312.SH,20081231,2209289976.04,223874776.35
600315.SH,20081231,2869623711.21,70003781.58
600317.SH,20081231,1396818014.39,617326075.63
600319.SH,20081231,2387958256.81,288246620.04
600322.SH,20081231,945018219.1,2302016.41
600323.SH,20081231,437243335.31,307789672.3
600325.SH,20081231,3171414051.39,2980661717.5
600326.SH,20081231,712375086.42,150232587.81
600328.SH,20081231,734473043.88,136850608.0
600329.SH,20081231,2742111000.0,38364000.0
600332.SH,20081231,3996617579.44,126981920.04
600333.SH,20081231,2022687518.65,82399132.0
600335.SH,20081231,503847570.07,20515600.51
600337.SH,20081231,1913907590.17,120531841.55
600338.SH,20081231,494049823.46,6655291.48
600339.SH,20081231,1165438646.8,363734935.85
600343.SH,20081231,360302179.02,36562319.24
600351.SH,20081231,903447248.83,147561077.6
600352.SH,20081231,4835961782.7,623956349.16
600355.SH,20081231,271071890.01,16463043.44
600356.SH,20081231,1156020656.58,22080624.84
600357.SH,20081231,11594775655.59,2217803842.55
600360.SH,20081231,1129293724.83,434165896.2
600361.SH,20081231,9924437854.31,560615586.26
600363.SH,20081231,1280625895.81,88639406.21
600365.SH,20081231,94004790.96,631316.37
600366.SH,20081231,2175089540.18,77707856.27
600369.SH,20081231,38373383.08,12026466.06
600370.SH,20081231,930756822.41,139025897.84
600371.SH,20081231,638690265.28,27118007.91
600375.SH,20081231,1557632638.2,51074742.04
600376.SH,20081231,5008768472.92,51311878.84
600377.SH,20081231,5579634237.0,827417760.0
600378.SH,20081231,613461731.04,11026666.08
600379.SH,20081231,518730830.48,30987969.46
600381.SH,20081231,40522043.72,13739116.58
600382.SH,20081231,1064130651.88,169789049.74
600386.SH,20081231,874306051.89,213758253.4
600388.SH,20081231,3795904162.22,86481023.23
600389.SH,20081231,2745353344.85,759430570.93
600390.SH,20081231,1197209919.45,50631361.92
600391.SH,20081231,846121120.97,171502812.53
600392.SH,20081231,592000581.44,168677017.63
600393.SH,20081231,961917174.82,6844216.34
600397.SH,20081231,917943814.14,97655093.13
600399.SH,20081231,6120404838.38,150739289.25
600400.SH,20081231,1368954302.65,55885884.85
600401.SH,20081231,385209050.87,5430747.91
600403.SH,20081231,293635210.86,5339627.0
600406.SH,20081231,1356191251.76,37439130.32
600408.SH,20081231,6864711147.81,552571446.68
600409.SH,20081231,3220143677.45,548463893.84
600410.SH,20081231,3162426109.4,39511338.63
600416.SH,20081231,3706111349.0,307810226.0
600418.SH,20081231,6212038670.38,1089271714.18
600422.SH,20081231,1128239687.6,13089817.58
600426.SH,20081231,2656808304.49,1063770158.29
600428.SH,20081231,7031460815.83,546868558.09
600429.SH,20081231,1559462335.27,47622737.05
600432.SH,20081231,2476525843.88,511296996.94
600435.SH,20081231,890795365.25,261411460.42
600436.SH,20081231,655185034.73,58502836.62
600439.SH,20081231,1488753993.54,128545142.34
600449.SH,20081231,1469499888.27,209056998.28
600452.SH,20081231,745915894.28,91778828.83
600455.SH,20081231,230387122.17,79276069.39
600456.SH,20081231,1726090025.09,614325197.03
600461.SH,20081231,227338273.55,51584511.47
600463.SH,20081231,701743284.94,11620516.81
600466.SH,20081231,269776068.11,12672068.22
600470.SH,20081231,2699267737.75,163735023.66
600478.SH,20081231,1650429987.52,79771791.5
600479.SH,20081231,869507114.53,95303996.05
600480.SH,20081231,2009434189.33,68854264.38
600482.SH,20081231,3534172053.51,140764855.97
600483.SH,20081231,1089019781.42,14307446.49
600485.SH,20081231,299648730.72,2708533.08
600486.SH,20081231,2455475213.17,519571841.67
600488.SH,20081231,1007411925.79,357626454.74
600495.SH,20081231,1399288752.93,61838419.41
600496.SH,20081231,5807065795.35,188996333.54
600497.SH,20081231,5230171311.53,643082644.66
600499.SH,20081231,1157009024.33,185009480.03
600502.SH,20081231,1682866175.59,72236796.95
600505.SH,20081231,393843055.55,133381154.92
600506.SH,20081231,45402702.45,6820362.79
600508.SH,20081231,8428085180.57,975727999.32
600510.SH,20081231,1055237322.09,162705138.17
600515.SH,20081231,411510262.98,17260108.08
600516.SH,20081231,2613942435.13,151071988.22
600518.SH,20081231,1916292766.8,693141199.01
600519.SH,20081231,11275230701.85,1010735786.04
600520.SH,20081231,240319928.87,1201940.96
600521.SH,20081231,803391819.44,138893086.05
600523.SH,20081231,1568933779.63,75326850.2
600525.SH,20081231,947673145.94,147376774.15
600527.SH,20081231,1049196310.97,117632665.85
600528.SH,20081231,28585395326.9,281430163.07
600529.SH,20081231,1281395417.6,158395457.02
600531.SH,20081231,8441084374.39,72659984.33
600535.SH,20081231,3919532613.74,114512812.36
600547.SH,20081231,19785815213.81,784292742.12
600549.SH,20081231,5700766451.51,498461993.37
600550.SH,20081231,4723203225.47,1720201864.69
600552.SH,20081231,281088787.07,15421517.28
600553.SH,20081231,1327349598.0,39063674.63
