ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
601818.SH,20160330,20160330,20151231,1,2,93159000000.0,93159000000.0,,39240000000.0,39358000000.0,29577000000.0,0.63
002408.SZ,20160323,20160323,20151231,1,1,4278458440.61,4278458440.61,3676820575.51,200291428.51,218449026.79,187276272.26,0.25
300044.SZ,20160329,20160329,20151231,1,1,664943610.31,664943610.31,505350974.19,85717310.05,97172909.03,82815530.95,0.35
002395.SZ,20160329,20160329,20151231,1,1,990486797.5,990486797.5,879381267.87,30134086.79,33930840.71,30689962.37,0.1295
300059.SZ,20160319,20160319,20151231,1,1,2812712721.18,2925879408.31,324054378.17,2110856145.88,2170926336.6,1848513821.56,1.0897
002383.SZ,20160322,20160322,20151231,1,1,757069209.2,757069209.2,419480852.22,38792278.59,69377666.84,63359501.47,0.3137
002374.SZ,20160316,20160316,20151231,1,1,1357490739.39,1357490739.39,1065833077.38,136762035.66,141383001.05,123412500.74,0.37
300056.SZ,20160323,20160323,20151231,1,1,688206692.7,688206692.7,493547945.89,72636746.16,82604564.99,71103084.38,0.21
002630.SZ,20160330,20160330,20151231,1,1,3699738955.57,3699738955.57,3049015375.21,221911964.43,234833239.43,204076667.52,0.2689
002393.SZ,20160323,20160323,20151231,1,1,774782192.71,774782192.71,346505042.55,133623866.17,135383795.3,114216513.45,0.63
002367.SZ,20160330,20160330,20151231,1,1,3270312469.62,3270312469.62,2081765198.52,584059449.12,587543301.25,490282317.55,0.6617
002368.SZ,20160322,20160322,20151231,1,1,4829487170.53,4829487170.53,4014689740.69,182196705.57,238767762.03,201177536.87,0.4895
300039.SZ,20160330,20160330,20151231,1,1,1395788575.79,1395788575.79,250363688.48,327912235.21,334815264.3,281648520.79,0.3381
002404.SZ,20160319,20160319,20151231,1,1,2013595396.77,2013595396.77,1628522645.37,79613091.45,83371666.79,64608679.12,0.11
300066.SZ,20160325,20160325,20151231,1,1,647047212.87,647047212.87,421430325.92,126592086.54,169480181.13,146164161.66,0.34
300087.SZ,20160315,20160315,20151231,1,1,607448026.24,607448026.24,375523917.84,39045447.36,43849305.16,42873524.72,0.0699
002449.SZ,20160328,20160328,20151231,1,1,1838515560.42,1838515560.42,1422628200.05,145564715.75,185081979.5,154121292.84,0.3538
300101.SZ,20160322,20160322,20151231,1,1,535150030.13,535150030.13,249038110.5,98598150.75,118531407.53,101091292.79,0.14
002435.SZ,20160330,20160330,20151231,1,1,1064708509.87,1064708509.87,914745313.29,46843269.42,50143156.54,43673281.76,0.22
002318.SZ,20160329,20160329,20151231,1,1,2721324820.48,2721324820.48,2183156287.66,119721209.83,136336883.42,112874149.78,0.15
002370.SZ,20160329,20160329,20151231,1,1,463145519.03,463145519.03,272791977.51,62969227.49,65985871.49,56488998.99,0.27
002092.SZ,20160322,20160322,20151231,1,1,15263199378.34,15263199378.34,11742936289.16,-53706945.09,247430373.95,187485840.21,0.0055
002313.SZ,20160322,20160322,20151231,1,1,2869246806.59,2869246806.59,2212738079.02,-25855119.81,-22390547.19,-49363490.16,-0.09
002341.SZ,20160308,20160308,20151231,1,1,1024098645.28,1024098645.28,758391796.38,-112266857.04,-127294078.43,-120300348.55,-0.2855
002334.SZ,20160330,20160330,20151231,1,1,1083362628.27,1083362628.27,620893177.96,112830863.35,164887392.8,150531972.18,0.2081
300036.SZ,20160322,20160322,20151231,1,1,467150995.75,467150995.75,166091386.54,40108047.81,63197685.28,58313211.15,0.3
002316.SZ,20160317,20180804,20151231,1,1,848498014.51,848498014.51,680763075.63,18442727.81,20024625.58,18361115.96,0.0589
002330.SZ,20160315,20160315,20151231,1,1,1550992537.02,1550992537.02,1324755501.52,28418455.5,32884142.73,22235626.35,0.045
300247.SZ,20160323,20160323,20151231,1,1,429219404.88,429219404.88,253769949.8,35874800.51,47188190.48,41293701.89,0.15
002356.SZ,20160315,20160315,20151231,1,1,1262020479.99,1262020479.99,821868806.98,131185706.14,144042003.49,104290246.95,0.34
002331.SZ,20160322,20160322,20151231,1,1,882037006.51,882037006.51,699061084.88,73009559.39,87912231.79,74854681.67,0.238
300071.SZ,20160330,20160330,20151231,1,1,3250056298.06,3250056298.06,2670247071.98,182169011.0,190386882.95,125404240.89,0.19
