trade_date,adj_close,adj_factor,ts_code,close
20230426,58.582440000000005,1.0,,
20230427,59.00088600000001,1.0,,
20230428,60.535188,1.0,,
20230504,62.7669,1.0,,
20230505,63.324828,1.0,,
20230508,63.74327400000001,1.0,,
20230509,62.906381999999994,1.0,,
20230510,62.906381999999994,1.0,,
20230511,63.185346,1.0,,
20230512,63.045863999999995,1.0,,
20230515,63.045863999999995,1.0,,
20230516,62.06949,1.0,,
20230517,62.348454,1.0,,
20230518,62.06949,1.0,,
20230519,60.953634,1.0,,
20230522,60.81415200000001,1.0,,
20230523,59.837778,1.0,,
20230524,58.582440000000005,1.0,,
20230525,58.582440000000005,1.0,,
20230526,58.582440000000005,1.0,,
20230529,58.86140399999999,1.0,,
20230530,58.303476,1.0,,
20230531,58.442958,1.0,,
20230601,58.30264,1.0,,
20230602,58.72108,1.0,,
20230605,59.000040000000006,1.0,,
20230606,58.16316,1.0,,
20230607,59.279,1.0,,
20230608,59.83692,1.0,,
20230609,59.83692,1.0,,
20230612,59.000040000000006,1.0,,
20230613,59.139520000000005,1.0,,
20230614,58.5816,1.0,,
20230615,58.16316,1.0,,
20230616,58.30264,1.0,,
20230619,56.90784,1.0,,
20230620,56.34992,1.0,,
20230621,56.210440000000006,1.0,,
20230626,55.51304,1.0,,
20230627,56.90784,1.0,,
20230628,56.90784,1.0,,
20230629,57.338989999999995,1.0,,
20230630,57.624970000000005,1.0,,
20230703,58.625899999999994,1.0,,
20230704,58.33992,1.0,,
20230705,58.19693,1.0,,
20230706,57.91094999999999,1.0,,
20230707,58.48291,1.0,,
20230710,58.625899999999994,1.0,,
20230711,58.91188,1.0,,
20230712,57.91094999999999,1.0,,
20230713,58.91188,1.0,,
20230714,58.625899999999994,1.0,,
20230717,58.625899999999994,1.0,,
20230718,58.91188,1.0,,
20230719,59.34085,1.0,,
20230720,58.91188,1.0,,
20230721,59.48384,1.0,,
20230724,59.76982,1.0,,
20230725,60.34177999999999,1.0,,
20230726,60.484770000000005,1.0,,
20230727,60.484770000000005,1.0,,
20230728,61.19972,1.0,,
20230731,62.20065,1.0,,
20230801,62.62962,1.0,,
20230802,62.62962,1.0,,
20230803,62.34364,1.0,,
20230804,62.34364,1.0,,
20230807,61.34271,1.0,,
20230808,60.91374,1.0,,
